"Type","Code","ThinkCode","ColorCode","Formula","Colored","FormulaKey","SameCode","ColorDesc","ReverseCode"
棱块,CE,嫦娥,"00",M2 u M' u2 M' u M2,,棱块-CE,GE,,
角块,DX,大象,"0",R2 U R2 D R2 D' R2 U' R2 D R2 D',,角块-DX,,,
角块,EX,鹅心,"1",U R' D' U' R' D' R U R' D R D R U' ,,角块-EX,,,
角块,FX,佛像,"2",D' U' R2 D R U' R' D' R U R U D,,角块-FX,,,
角块,DY,电影/抖音,"0",D U' R D R' U2 R D' R' U' D',,角块-DY,,,
角块,EY,儿媳,"1",R U R2 D' R U' R' D R U R U' R',,角块-EY,,,
角块,FY,法医,"2",l D' R' D R U' R' D' R U D l',,角块-FY,,,
角块,DZ,刀子,"0",R' D' R U2 R' D R U2 ,,角块-DZ,,,
角块,EZ,儿子,"1",D R U R' D' R U R' D R U2 R' D',,角块-EZ,,,
角块,FZ,房子,"2",R B' R' U R' D' R U' R' D R2 B R',,角块-FZ,,,
角块,GA,国安,"0",R F R2 D' R U R' D R U' R F' R',,角块-GA,,,
角块,HA,胡安,"1",R' D' R' D R U' R' D' R U D R,,角块-HA,,,
角块,IA,伊爱,"2",U' R2 D' R U2 R' D R U2 R U,,角块-IA,,,
角块,GB,钢笔,"0",R U2 R D R' U2 R D' R2,,角块-GB,,,
角块,HB,红包,"1",R D' U' R' D' R U2 R' D R U' D R',,角块-HB,,,
角块,IB,恐怖美术馆,"2",R D' R2 D R2 U' R2 D' R2 D R2 U R,,角块-IB,,,
角块,GC,工厂,"0",R2 D' R U' R' D R U R,,角块-GC,,,
角块,HC,火车,"1",R' F D R U R' D' R U' R' F' R,,角块-HC,,,
角块,IC,IC卡,"2",F' U' R' D R U2 R' D' R U' F,,角块-IC,,,
角块,GD,果冻,"0",R' B' R U' R D R' U R D' R2 B R,,角块-GD,"",,
角块,HD,蝴蝶,"1",R' D U' R D R' U2 R D' R' U' D' R,,角块-HD,,,
角块,ID,身份证,"2",R' U D R D' R U' R' D R U R2 D' U' R,,角块-ID,,,
角块,FT,饭堂,"2",D' R2 U R D R' U' R D' R D,,角块-FT,,,
角块,ET,儿童,"1",R U R' D' R U R' D R U2 R',,角块-ET,,,
角块,DT,地图,"0",D U' R D' R' U2 R D R' U' D' ,,角块-DT,,,
角块,FS,粉丝,"2",R' U2 R' D' R U' R' D R U' R,,角块-FS,,,
角块,EW,鹅王,"1",D' R2 D' R' U R D R' U' R' D,,角块-EW,,,
角块,FW,福娃,"2",U' R2 D R U' R' D' R U R U,,角块-FW,,,
角块,DM,大妈,"0",R' D R U2 R' D' R U2 ,,角块-DM,,,
角块,EM,峨眉,"1",U R' U' R' D R U R' D' R2 U',,角块-EM,,,
角块,FM,蜂蜜,"2",R B' R' U R' D R U' R' D' R2 B R',,角块-FM,,,
角块,DN,电脑,"0",D' U' R D' R' U2 R D R' U' D,,角块-DN,,,
角块,EN,额娘,"1",R U R' D R U R' D' R U2 R',,角块-EN,,,
角块,FN,飞鸟,"2",D R2 U R D R' U' R D' R D',,角块-FN,,,
角块,DO,东欧,"0",R' D' U' R2 U' R' D R U R' D' R' U D R,,角块-DO,,,
角块,EO,EXO组合,"1",R2 D' R' U R D R' U' R',,角块-EO,,,
角块,GE,孤儿,"0",R U R D R' U' R D' R2,,角块-GE,,,
角块,FO,佛,"2",D U' R2 D R U' R' D' R U R U D' ,,角块-FO,,,
角块,EP,二胖,"1",D U R' U' R' D R U R' D' R2 U' D',,角块-EP,,,
角块,FP,飞盘,"2",R' D' R' U R D2 R' U' R D' R,,角块-FP,,,
角块,DQ,电器,"0",U' R D' R' U2 R D R' U',,角块-DQ,,,
角块,EQ,EQ情商,"1",U R' U2 R D' R' U R D R' U R U',,角块-EQ,,,
角块,FQ,番茄,"2",U2 R U R D' R' U' R D R2 U2,,角块-FQ,,,
角块,DR,敌人,"0",R D' R2 D R U2 R' D' R U2 R D R',,角块-DR,,,
角块,ER,恶人,"1",D R2 D' R' U R D R' U' R' D',,角块-ER,,,
角块,FR,腐乳,"2",U R D' R U' R' D R U R2 U' ,,角块-FR,,,
角块,DS,大师,"0",U' R D R' U2 R D' R' U',,角块-DS,,,
角块,ES,耳屎,"1",U' R2 U' R' D' R U R' D R' U,,角块-ES,,,
角块,DP,肚皮,"0",R' D2 R U2 R' D2 R U2,,角块-DP,,,
角块,DW,大王,"0",R F' R' U' R D R' U2 R D' R' U' R F R' ,,角块-DW,,,
角块,HE,海尔,"1",F' r U R' U' r' F R,,角块-HE,,,
角块,GF,功夫,"0",R2 D' R U2 R' D R U2 R,,角块-GF,,,
角块,GT,钢铁侠,"0",D U' R D' R' U R D R' D',,角块-GT,,,
角块,HT,核桃,"1",R U' R' U R D R' U' R D' U R',,角块-HT,,,
角块,IT,互联网技术,"2",D U R U2 R D' R' U2 R D R2 U' D',,角块-IT,,,
角块,GX,狗熊,"0",U' R' D R2 D' R' U R D R' U' R' D' R U ,,角块-GX,,,
角块,HX,海鲜,"1",U R' U' R U R' D' R U' R' D U R U',,角块-HX,,,
角块,IX,九,"2",U R' F2 R D' R' D F2 D' R D U',,角块-IX,,,
角块,GY,膏药,"0",D' R' D R U R' D' R U' D,,角块-GY,,,
角块,HY,后羿,"1",D' R' U D R U' R' D' R U R' U' R D,,角块-HY,,,
角块,IY,两面穿衣服,"2",U' R' U' R D R' U2 R D' R' U' R U,,角块-IY,,,
角块,GZ,甘蔗,"0",R' D' R U R' D R U',,角块-GZ,,,
角块,HZ,猴子,"1",R' U D' R U' R' D R U R' U' R,,角块-HZ,,,
角块,IZ,IZ组合,"2",F' R U R2 U' R' F R U R2 U' R',,角块-IZ,,,
角块,WA,胃癌,"0",x' F' D2 R U R' D2 R U' l' U,,角块-WA,,,
角块,MA,棉袄,"1",U' R' D R U R' D' R,,角块-MA,,,
角块,NA,脑癌,"2",D U' R' D' R U R' D R D',,角块-NA,,,
角块,WB,尾巴,"0",R D U' R' D' R U2 R' D R U' D' R',,角块-WB,,,
角块,MB,面包,"1",D R' F2 R D' R' D F2 D' R,,角块-MB,,,
角块,NB,泥巴,"2",R U' R' D R U2 R' D' R U' R',,角块-NB,,,
角块,WC,旺财,"0",U' R' D U R U' R' D' R U R' U' R U,,角块-WC,,,
角块,MC,冒菜,"1",R' U' R U R' D R U' R' D' U R,,角块-MC,,,
角块,NC,奶茶,"2",D R' U' R U R' D' R U' R' D U R D' ,,角块-NC,,,
角块,IS,伊斯兰国,"2",U R U' R' D' R U2 R' D R U' R' U',,角块-IS,,,
角块,HS,和尚,"1",U' R D U R' U' R D' R' U R U' R' U,,角块-HS,,,
